Date,Fatalities,Recovered,Quarantined,Isolated,Tested,ATI,ConfirmedCases
2/26/2020,0,0,26,2077,32,0,1
2/27/2020,0,0,99,7174,18,0,1
2/28/2020,0,0,42,8356,30,0,3
2/29/2020,0,0,52,8796,381,0,3
3/1/2020,0,0,52,8085,393,0,3
3/2/2020,0,1,52,8167,475,0,3
3/3/2020,0,1,37,9369,551,0,4
3/4/2020,0,1,35,10771,579,0,6
3/5/2020,0,3,35,11731,657,0,6
3/6/2020,0,3,22,12619,734,0,8
3/7/2020,0,3,16,12977,809,0,12
3/8/2020,0,4,15,12734,948,0,14
3/9/2020,0,5,27,11198,1010,0,15
3/10/2020,0,5,107,11505,1179,0,28
3/11/2020,0,5,487,11684,1441,0,45
3/12/2020,0,6,1556,13646,1921,0,48
3/13/2020,0,6,2298,13723,2545,0,75
3/14/2020,0,6,2652,14573,2929,0,102
3/15/2020,0,9,2855,14640,3205,0,139
3/16/2020,0,9,3078,14845,3708,0,168
3/17/2020,0,19,3373,18965,4150,0,217
3/18/2020,0,19,3510,26545,4670,0,260
3/19/2020,0,25,3822,33709,4973,6,277
3/20/2020,0,31,4044,45432,8284,11,308
3/21/2020,0,52,4207,55198,8915,14,367
3/22/2020,3,64,4803,65799,9967,14,433
3/23/2020,4,73,5066,77247,11223,15,576
3/24/2020,8,79,5515,83970,12624,16,762
3/25/2020,13,86,6016,96055,14466,18,906
3/26/2020,17,94,6151,110042,15998,29,1029
3/27/2020,24,115,7219,124320,17453,32,1292
3/28/2020,29,139,7801,131367,19663,34,1452
3/29/2020,38,169,8666,132641,21460,38,1815
3/30/2020,46,209,9255,126371,23103,55,1952
3/31/2020,69,220,11576,123577,24654,62,2245
4/1/2020,85,252,12218,119218,26609,57,2460
4/2/2020,94,267,15407,114699,28483,78,2738
4/3/2020,116,283,13531,114646,31657,83,3183
4/4/2020,141,329,15252,113449,36092,119,3613
4/5/2020,148,374,15980,108810,38623,141,3864
4/6/2020,157,406,23849,106463,40987,179,4057
4/7/2020,182,460,25379,91369,43578,274,4417
