548,1/22/2020,1
643,1/23/2020,2
920,1/24/2020,3
1406,1/25/2020,4
2075,1/26/2020,5
2877,1/27/2020,6
5509,1/28/2020,7
6087,1/29/2020,8
8141,1/30/2020,9
9802,1/31/2020,10
11891,2/1/2020,11
16630,2/2/2020,12
19716,2/3/2020,13
23707,2/4/2020,14
27440,2/5/2020,15
30587,2/6/2020,16
34110,2/7/2020,17
36814,2/8/2020,18
39829,2/9/2020,19
42354,2/10/2020,20
44386,2/11/2020,21
44759,2/12/2020,22
59895,2/13/2020,23
66358,2/14/2020,24
68413,2/15/2020,25
70513,2/16/2020,26
72434,2/17/2020,27
74211,2/18/2020,28
74619,2/19/2020,29
75077,2/20/2020,30
75550,2/21/2020,31
77001,2/22/2020,32
77022,2/23/2020,33
77241,2/24/2020,34
77754,2/25/2020,35
78166,2/26/2020,36
78600,2/27/2020,37
78928,2/28/2020,38
79356,2/29/2020,39
79932,3/1/2020,40
80136,3/2/2020,41
80261,3/3/2020,42
80386,3/4/2020,43
80537,3/5/2020,44
80690,3/6/2020,45
80770,3/7/2020,46
80823,3/8/2020,47
80860,3/9/2020,48
80887,3/10/2020,49
80921,3/11/2020,50
80932,3/12/2020,51
80945,3/13/2020,52
80977,3/14/2020,53
81003,3/15/2020,54
81033,3/16/2020,55
81058,3/17/2020,56
81102,3/18/2020,57
81156,3/19/2020,58
81250,3/20/2020,59
81305,3/21/2020,60
81435,3/22/2020,61
81498,3/23/2020,62
81591,3/24/2020,63
81661,3/25/2020,64
81782,3/26/2020,65
81897,3/27/2020,66
81999,3/28/2020,67
82122,3/29/2020,68
82198,3/30/2020,69
82279,3/31/2020,70
82361,4/1/2020,71
82432,4/2/2020,72
82511,4/3/2020,73
82543,4/4/2020,74
82602,4/5/2020,75
82665,4/6/2020,76
82718,4/7/2020,77
82809,4/8/2020,78
82883,4/9/2020,79
82941,4/10/2020,80
