Romania,Italy,Spain,Poland,China,Zi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
0,0,0,0,58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
0,0,0,0,101,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0,0,0,0,120,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
0,0,0,0,135,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
0,0,0,0,214,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
0,0,0,0,275,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
0,0,0,0,463,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
0,0,0,0,614,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
0,0,0,0,843,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
0,0,0,0,1115,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
0,0,0,0,1477,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
0,0,0,0,1999,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
0,0,0,0,2596,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
0,0,0,0,3219,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
0,0,0,0,3918,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
0,0,0,0,4636,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
0,0,0,0,5082,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
0,0,0,0,6217,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
0,0,0,0,7977,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
0,0,2,0,9298,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
0,0,2,0,10755,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
0,0,2,0,12462,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
0,0,2,0,14206,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
0,0,2,0,15962,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
0,0,2,0,18014,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
0,0,2,0,18704,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
0,1,2,0,22699,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
0,2,2,0,23187,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
0,1,2,0,25015,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
0,1,2,0,27676,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
0,3,2,0,30084,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
0,45,2,0,32930,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
0,46,2,0,36329,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
0,46,2,0,39320,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
0,83,2,0,42162,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
0,149,2,0,44854,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
0,160,2,0,47450,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
1,276,2,0,50001,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
1,414,2,0,52292,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
1,523,2,0,53944,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
3,589,30,0,55539,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
3,622,30,0,57388,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
3,724,32,0,58804,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
3,724,32,0,60181,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
6,1045,183,0,61644,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
6,1045,183,0,62901,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
7,1439,193,0,64196,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
9,1966,517,0,65660,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
9,2335,517,0,67017,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
9,2749,530,13,67910,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
16,2941,1028,13,68798,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
19,4025,1081,13,69755,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
25,4440,1107,1,70535,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
25,4440,1588,1,71266,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
52,6072,2125,1,71857,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
64,7024,2575,1,72362,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
64,7024,2575,1,72814,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
79,8326,3794,1,73280,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
86,9362,5367,7,73773,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
94,10361,7015,7,74181,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
115,10950,9357,7,74720,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
139,12384,12285,7,75100,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
206,13030,14709,7,75582,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
209,14620,16780,7,75923,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
220,15729,19259,7,76206,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
252,16847,22647,47,76405,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
267,18278,26743,56,76565,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
283,19758,30513,56,76760,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
